"nom";"description";"ration";"calcium";"saisons";"oxalates"
"Céleri branche";"Feuilles et branches. Attention : si votre lapin a des problèmes de molaires sectionnez les branches en tronçons de 1. 5 à 3cm de long car il aura du mal à sectionner lui même les longues fibres et cela peut causer des problèmes digestifs. Riche en vitamine A, B et C. C'est un légume considéré par le lapin comme une véritable gourmandise. C'est aussi un bon diurétique";"30g";"41-44mg/100g";"été, automne";"190mg/100g"
"Céleri vivace / Ache des montagnes /livèche/céleri perpétuel";"Feuilles et branches. Mêmes propriétés que le céleri branche";;;;
"Céleri rave";"Feuilles et racine. Peu calorique, riche en fibres";"30g";"43-60mg/100g";"automne, hiver";
"Cerfeuil";"Riche en calcium";;;"printemps, été, automne";
"Cerfeuil tubéreux";"Le feuillage est toxique mais la racine peut être consommée en petite quantité";;;"automne";
"Chicorée de catalogne";"Riche en calcium. A éviter si le lapin souffre de problèmes urinaires chroniques";;;"printemps, été, automne";
"Chicorée Castellfranco";"Riche en calcium. A éviter si le lapin souffre de problèmes urinaires chroniques";;;"automne, hiver";
"Chicorée grumolo verde - chicorée amère";"Riche en calcium. A éviter si le lapin souffre de problèmes urinaires chroniques";;;"automne, hiver";
"Chicorée pain de sucre";"Riche en calcium. A éviter si le lapin souffre de problèmes urinaires chroniques";;;"automne, hiver";
"Chou de Shangai Bok choy/ Shangai pak choi";"Riche en vitamines C. Attention, les feuilles doivent être bien vertes sinon elles sont toxiques. Peut provoquer des ballonnements chez certains lapins. Comme tous les choux il doit être donné en petite quantité";;"92 mg/100g";"été, automne";
"Chou de pékin Pé-tsaï";"Riche en vitamines C. Attention, les feuilles doivent être bien vertes sinon elles sont toxiques. Ne pas acheter ce type de chou en supermarché car ils sont trop pâles et non aucun intérêt nutritif pour le lapin. Le chou photographié est un chou bio qui a poussé en plein air. Ses feuilles sont épaisses comme des blettes, d'un vert bien foncé et très croquantes. Evitez de donner la partie blanche qui n'a pas d'intérêt. Comme tous les choux il doit être donné en petite quantité";;"77 mg/100g";"toute l'année, automne, hiver";
"Chou branche ou chou à vache ou chou bricolin";"Riche en vitamines C. Attention, les feuilles doivent être bien vertes sinon elles sont toxiques. Peut provoquer des ballonnements chez certains lapins. Comme tous les choux il doit être donné en petite quantité";;"40mg/100g";"printemps, automne";
"Chou frisé non pommé (kale)";"Riche en calcium. A éviter si le lapin souffre de problèmes urinaires chroniques. Attention, les feuilles doivent être bien vertes sinon elles sont toxiques. Peut provoquer des ballonnements chez certains lapins. Comme tous les choux il doit être donné en petite quantité";;"98-140mg/100g";"automne, hiver";"20mg/100g"
"Chou de Bruxelles";"Riche en vitamines B6 et C. Pauvre en Calcium. Attention ne pas donner la branche sur laquelle ils poussent, elle est toxique. Attention, les feuilles doivent être bien vertes sinon elles sont toxiques. Comme tous les choux il doit être donné en petite quantité( 1 par repas maxi car il détruit certains nutiments d'autres légumes)";"1 chou = 23g";"26-35mg/100g";"automne, hiver";
"Chou cabus";"Comme tous les choux il doit être donné en petite quantité";;;"automne";
"Chou fleur blanc";"Fleurs et feuilles. Riche en vitamine A, B et oxalates. Pauvre en calcium. Attention, les feuilles doivent être bien vertes sinon elles sont toxiques. Peut provoquer des ballonnements chez certains lapins. Le coeur est à éviter chez les lapins fragiles, donnez plutôt les feuilles. C'est un légume généralement apprécié des lapins";"1 fleur = 37g";"20mg/100g";"printemps, automne, hiver";"150mg/100g"
"Chou fleur vert";"Fleurs et feuilles. Mêmes caractéristiques que le chou fleur blanc";;;"printemps, automne, hiver";
"Chou fleur orange";"Fleurs et feuilles. Mêmes caractéristiques que le chou fleur blanc";;;"automne, hiver";
"Chou fleur violet";"Fleurs et feuilles. Mêmes caractéristiques que le chou fleur blanc";;;"printemps, automne, hiver";
"Chou frisé";"Uniquement les feuilles bien vertes jamais de feuilles jaunies. Si votre lapin doit avoir un régime pauvre en calcium, donnez lui les feuilles centrales les plus blanches. Riche en vitamine C, riche en calcium. Comme tous les choux il doit être donné en petite quantité. Les feuilles vertes( à l'extérieur) ne doivent pas être données aux lapins qui ont des problèmes digestifs ou urinaires chroniques. C'est un légume très apprécié";"1 petite feuille ou 1/2 grande feuille = 14g";"98-140mg/100g";"automne, hiver";"20mg/100g"
"Chou rave (chou navet en Belgique, colrave, kohlrabi ou chou pomme en Suisse)";"Comme tous les choux il doit être donné en petite quantité. Le bulbe ainsi que les feuilles sont comestibles. Les variétés verte et rouge sont comestibles mais les lapins préfèrent la verte";;;"automne";
"Chou rave violet";"Mêmes caractéristiques que la version verte";;;"automne";
"Chou romanesco";"Comme tous les choux il doit être donné en petite quantité. S'utilise comme le chou fleur";;;"automne";
"Ciboulette";"Attention : grignotée en petite quantité et rarement elle est sans danger mais elle ne doit pas faire partie des herbes habituelles de vos lapins car fait partie de la famille de l'oignon et de l'aïl qui sont toxiques";;;;
"Coriandre";"Très appréciée des lapins. Riche en calcium. Le bouquet de gauche est un bouquet avant floraison. Ensuite, la coriandre monte et le feuillage change d'aspect comme le bouquet de droite";;"64mg/100g";"printemps, été, automne";"10mg/100g"
"Cosses de pois";"Attention ne pas donner les pois qui eux sont toxiques. C'est un légume qui rebute un peu au début mais le lapin s'y fait rapidement";;"23mg/100g";"été";
"Cresson";"riche en vitamines A et C, riche en calcium, à donner en petite quantité. Propriétés diurétiques";"6g";"160-210mg/100g";"printemps";"310mg/100g"
"Cresson de jardin";"riche en vitamines A et C, riche en calcium, à donner en petite quantité. Propriétés diurétiques";"6g";"160-210mg/100g";"printemps";"310mg/100g"
"Cresson alénois";"riche en vitamines A et C, riche en calcium, à donner en petite quantité";;"200-210mg/100g";"printemps";"310mg/100g"
"Endive-chicon";"riche en vitamines A, peu nutritive. Très appréciée des lapins, c'est un bon légume pour débuter l'introduction des légumes dans le régime alimentaire. A éviter chez le lapin ayant des problèmes urinaires chroniques";"5 feuilles = 45g";"50mg/100g";"automne, hiver";"110mg/100g"
"Endive carmine";"Même qualités que la variété blanche";;;"automne, hiver";
"Epinard";"Uniquement les feuilles bien vertes( pousses ou feuilles ). riche en oxalates, magnesium, fer et vitamines A et C et calcium. Comme le chou il doit être donné en petite quantité. Ne doit pas être donné aux lapins qui ont des problèmes digestifs ou urinaires chroniques";;"50-125mg/100g";"printemps, été, automne";"970mg/100g"
"Epinard géant d'hiver";"Uniquement les feuilles bien vertes. riche en oxalates, magnesium, fer et vitamines A et C et calcium. Comme le chou il doit être donné en petite quantité. Ne doit pas être donné aux lapins qui ont des problèmes digestifs ou urinaires chroniques";;;"automne, hiver";
"Epinard géant";"Uniquement les feuilles bien vertes. riche en oxalates, magnesium, fer et vitamines A et C et calcium. Comme le chou il doit être donné en petite quantité. Ne doit pas être donné aux lapins qui ont des problèmes digestifs ou urinaires chroniques";;;"hiver, printemps";
"Estragon";"Plantes appréciée des lapins. Attention, l'estragon du mexique n'est pas de l'estragon et il a en plus des propriétés hallucinogènes. Il faut donc donner aux lapins la version classique de l'estragon (Artemisia dracunculus)";;;"printemps, été";
"Fanes de carottes";"Riches en calcium, fer et vitamines A B1 B2 B6 et C";;;"printemps, été, automne";
"Fenouil";"Tout se mange, le bulbe comme le feuillage. Dans le commerce on ne trouve malheureusement que le bulbe, c'est bien dommage car les lapins adorent le feuillage du fenouil qui a un délicieux goût d'aneth. Riche en potassium, calcium et vitamine A, B8 et B9C, peu calorique et diurétique. Peut être donné aux lapines gestantes et allaitantes, car il favorise la lactation";"1/4 de petit fenouil = 40g";"100-110mg/100g";"printemps, été, automne";
"Fenouil pourpre";"Riche en potassium, calcium et vitamine A, B8 et B9C";;;"printemps, été, automne";
"Fenouil vivace";"Riche en potassium, calcium et vitamine A, B8 et B9C";;;"printemps, été, automne";
"Feuille de fraisier";"C'est un aliment très apprécié !";;;"printemps, été, automne";
"Feuille de framboisier";"C'est un aliment très apprécié !";;;"printemps, été, automne";
"Feuilles de radis";"Le radis est à éviter car il peut provoquer des ballonnements chez certains lapins, mais les feuilles sont comestibles et sans danger. Attention, les feuilles doivent être bien vertes sinon elles sont toxiques. Riche en vitamine A, B2, C et calcium";;"22mg/100g";"printemps, été, automne";
"Feuilles de tournesol";"Les feuilles sont entièrement comestibles (choisissez des graines au rayon légumes et pas au rayon fleurs si possible). Les pétales sont eux aussi comestibles, mais évitez de donner les fleurs entières, votre lapin ferait une orgies de graines ce qui pourrait provoquer des troubles digestifs. ( au pire ne pas dépasser 10 graines par lapin)";;;"printemps, été, automne";
"Haricots verts";"Ne pas donner de haricots verts aux lapins qui ont un système digestif fragile, ils peuvent les rendre malades. A donner en petite quantité(2-3)";;"50-65mg/100g";"été, automne";
"Mâche";"Bien nettoyer car la mâche contient beaucoup de sable. Riche en vitamine A, B, C";"4 pieds =18g";"35mg/100g";"hiver, printemps";
"Marjolaine";;;;"printemps, été";
"Menthe";"Riche en calcium";"3 brins =6g";"210mg/100g";"toute l'année, printemps, été";
"Mizuna";;;;"toute l'année";
"Moutarde rouge";;;"104mg/100g";"toute l'année";
"Moutarde";;;"104mg/100g";"toute l'année";
"Moutarde violette dentelée";;;"104mg/100g";"toute l'année";
"Navet rose ou blanc, rave (Suisse)";"Feuilles sans problème mais racine en quantité limitée, pas plus d'une fois par semaine. Feuilles riches en calcium. Racine moyennement riche";"1/4 de petit navet = 20g
5 feuilles =10g";"32-48mg/100g
des feuilles :105-136mg/100g";"printemps automne hiver";"210mg/100g
50mg/100g"
"Navet rond jaune d'or";"Mêmes caractéristiques que le navet rose ou blanc";;;;
"Origan";;;;"été";
"Ortie blanche";"Ne pique pas contrairement à l'ortie sauvage";;;"printemps";
"Panais";"Légume racine de la même famille que la carotte. Il est lui aussi très riche. Peut remplacer la carotte l'hiver. Riche en vitamine C, potassium , manganèse, fibres. Moyennement riche en calcium. Diurétique. Ne pas en donner à la fin de l'hiver, il devient très fibreux et extrêmement dur";"1 rondelle";"37-41mg/100g";"automne, hiver";"70mg/100g"
"Persil plat";"A préférer au persil frisé car il est plus riche en vitamines. Le persil doit être consommé bien frais sinon il est toxique(quand il jaunit). riche en vitamines A et C. Propriétés diurétiques. Ne doit pas être donné aux lapines gestantes et allaitantes, car il coupe parfois la lactation";"2 gros brins = 9g de persil";"122-245mg/100g";"printemps, été, automne";"1700mg/100g"
"Persil racine";"Racine et feuillage sont comestibles. Riche en vitamine C";;;;
"Pissenlit sauvage ou cultivé";"Toutes les parties sont comestibles : feuilles, fleurs et racines. Riche en vitamines A et C et en calcium, Diurétique. L'effet diurétique compense la richesse en calcium. Il peut être donné régulièrement mais en raison de son effet diurétique il ne peut pas représenter à lui seul la base de l'alimentation. Il doit être mélangé à d'autres plantes afin de composer une ration équilibrée. L'effet diurétique du pissenlit	peut apporter une aide dans le traitement des infections urinaires, en revanche il est déconseillé en cas d'affection rénale. Les urines sont souvent assez rouges après la consommation de pissenlit, c'est tout à fait normal";"1 gros pied de pissenlit = 37g";"140-160mg/100g";"toute l'année, beau au printemps";
"Pissenlit blanc";"Mêmes caractéristiques. il est moins riche en calcium";;;"toute l'année, beau au printemps";
"Pois mangetout ou pois gourmands";"En petite quantité uniquement";;;"été";
"Poivron";"Ne doit pas être donné de manière régulière ni en grande quantité. C'est juste un petit ""plus"" pour varier"" le menu. Il faut bien sûr retirer les pépins et la partie intérieure blanche qui est indigeste";;"9mg/100g";"été";
"Pourpier doré";;"10g de pourpier";"79mg/100g";"toute l'année";
"Racine de pissenlit";"Bien laver et sécher";;;;
"Romarin";;;;"printemps, été, automne";
"Ronces ou feuilles de mûrier";;;;"printemps, été";
"Roquette sauvage";;;;"été, automne";
"Roquette plein champs";;;;"été, automne";
"Roquette cultivée-Ruccola";;;;"été, automne";
"Rutabaga à collet rose - chou navet";"Pauvre en calories, riche en vitamine C, un complément idéal pour l'hiver en petite quantité. Ce légume est riche en amidon et ne doit pas être donné aux lapins qui souffrent déjà de crottes molles chroniques et qui ont une alimentation riche ( granulés). Le feuillage est comestible mais peu recommandé";"20g";"47-53mg/100g";"hiver";
"Rutabaga à collet vert";"Mêmes caractéristiques que le rutabaga à collet rose";;;"hiver";
"Salade Batavia";"Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;"printemps, été, automne";
"Salade Batavia rouge";"Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;"printemps, été, automne";
"Salade cressonnette marocaine";"riche en vitamines, potassium, magnésium. Appartient à la famille de la laitue et non à celle du cresson. Elle ressemble à de la feuille de chêne, en plus croquante, les lapins adorent!. Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;"été";
"Salade Feuille de chêne-Eichblatt";"Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;;
"Salade hussarde";"riche en vitamines, potassium, magnésium. Appartient à la famille de la laitue. Elle ressemble à de la feuille de chêne, en plus croquante, les lapins adorent!. Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;"printemps, été, automne";
"Salade Frisée";"Riche en calcium comme toutes les chicorées. Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;"55mg/100g";;
"Salade Laitue asperge";"Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;;
"Salade lolo rossa";"Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;;
"Salade multi-feuille";"Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;;
"Salade multi-feuille rouge";"Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;;
"Salade Reine des glaces";"Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;;
"Salade Romaine";"L'une des salades préférées des lapins car elles est bien croquante. Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;"20mg/100g";"printemps, été, automne";"300mg/100g"
"Salade rougette";"L'une des salades préférées des lapins car elles est bien croquante. Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;"automne, hiver";
"Salade Scarole";"Riche en calcium et vitamine A. Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;"printemps, été, automne";
"Salade Sucrine (laitue d'hiver)";"C'est une variété de laitue, elle doit donc être donnée en quantité limitée. Ne pas acheter en supermarché car ils vendent sous l'appellation sucrine des coeurs de laitue sans aucune valeur nutritive. La sucrine doit être bien verte et croquante. Ne doit pas être donné aux lapins qui ne sont pas habitués à la verdure";;;"automne, hiver";
"Sarriette";;;;"été, automne";
"Serpolet";;;;"été, automne";
"Tat-soï (pousses de )";"Uniquement les feuilles bien vertes. Riche en calcium, viatme A, C et K, doit être donné en petite quantité";;;;
"Tétragone ou épinard d'été";"Uniquement les feuilles bien vertes. riche en oxalates, magnesium, fer et vitamines A et C et calcium. Comme le chou il doit être donné en petite quantité. Ne doit pas être donné aux lapins qui ont des problèmes digestifs ou urinaires";;;"printemps, été";
"Thym";;;;"été, automne";
"Thym citron";;;;"été, automne";
"Topinambour";"Il peut être plus ou moins jaune ou rose selon les espèces. Riche en potassium et vitamine C pauvre en calcium, peu calorique mais nutritif. Idéal pour les lapins qui ont tendance à grossir. Ils contiennent 76% d'eau et sont donc idéal en complément du foin, ils participent à une bonne hydratation. Les feuilles sont elles aussi comestibles mais elles doivent être données en petites quantités, ce n'est pas un fourrage et elles deviennent toxiques si elles sont données en grande quantité ou très souvent. On peut se contenter de le laver et de le brosser si ça forme est trop complexe pour permettre de l'éplucher";"30g";"10-15mg/100g";"automne, hiver";
"Topinambour violet";"Mêmes caractéristiques";;;"automne, hiver";
"Topinambour blanc";"Mêmes caractéristiques que le topinambour blond ou rose";;;"automne, hiver";
"Trévise (chicorée)";"Riche en calcium";;;"automne, hiver";
"Verveine citron";;;;"printemps, été";
"Concombre";"Rafraichissant, riche en vitamines A, B, C. Préférez les mini concombres plus riches en chair et plus pauvre en pépins";;"20mg/100g";;
"Melon";"Rafraichissant, riche en vitamines A, B, C. Retirez la peau et les pépins";;"8mg/100g";;
"Pastèque";"Rafraichissant";;;;
"Tomate";"Uniquement la chair. Feuilles, tiges et pépins sont toxiques";;;;
